id,diff_bank_count
1,0.0
2,3.0
3,1.0
4,3.0
5,1.0
6,3.0
7,6.0
8,1.0
9,3.0
10,4.0
11,1.0
12,5.0
13,3.0
14,5.0
15,1.0
16,1.0
17,5.0
18,1.0
19,1.0
20,1.0
21,2.0
22,1.0
23,1.0
24,6.0
25,1.0
26,1.0
27,2.0
28,1.0
29,1.0
30,2.0
31,0.0
32,1.0
33,0.0
34,8.0
35,8.0
36,1.0
37,1.0
38,0.0
39,1.0
40,6.0
41,0.0
42,5.0
43,2.0
44,1.0
45,6.0
46,1.0
47,5.0
48,3.0
49,6.0
50,2.0
51,7.0
52,0.0
53,2.0
54,4.0
55,0.0
56,0.0
57,2.0
58,1.0
59,2.0
60,1.0
61,1.0
62,2.0
63,2.0
64,2.0
65,1.0
66,0.0
67,2.0
68,8.0
69,1.0
70,1.0
71,4.0
72,1.0
73,0.0
74,1.0
75,0.0
76,0.0
77,5.0
78,3.0
79,2.0
80,6.0
81,0.0
82,3.0
83,4.0
84,1.0
85,1.0
86,1.0
87,1.0
88,2.0
89,2.0
90,3.0
91,0.0
92,5.0
93,0.0
94,4.0
95,0.0
96,1.0
97,0.0
98,1.0
99,4.0
100,2.0
101,2.0
102,1.0
103,0.0
104,0.0
105,7.0
106,0.0
107,4.0
108,0.0
109,0.0
110,4.0
111,4.0
112,4.0
113,0.0
114,2.0
115,1.0
116,4.0
117,5.0
118,0.0
119,4.0
120,7.0
121,2.0
122,3.0
123,6.0
124,5.0
125,2.0
126,2.0
127,3.0
128,4.0
129,1.0
130,1.0
131,6.0
132,2.0
133,1.0
134,3.0
135,0.0
136,3.0
137,0.0
138,2.0
139,2.0
140,2.0
141,0.0
142,1.0
143,2.0
144,0.0
145,5.0
146,2.0
147,1.0
148,0.0
149,2.0
150,2.0
151,4.0
152,0.0
153,7.0
154,1.0
155,0.0
156,0.0
157,1.0
158,3.0
159,6.0
160,2.0
161,2.0
162,4.0
163,2.0
164,5.0
165,1.0
166,2.0
167,1.0
168,1.0
169,5.0
170,2.0
171,1.0
172,4.0
173,0.0
174,3.0
175,0.0
176,2.0
177,0.0
178,2.0
179,0.0
180,1.0
181,0.0
182,0.0
183,1.0
184,3.0
185,0.0
186,0.0
187,0.0
188,1.0
189,1.0
190,4.0
191,1.0
192,5.0
193,3.0
194,1.0
195,3.0
196,0.0
197,0.0
198,0.0
199,2.0
200,7.0
201,1.0
202,6.0
203,3.0
204,3.0
205,7.0
206,1.0
207,1.0
208,5.0
209,1.0
210,6.0
211,2.0
212,1.0
213,2.0
214,0.0
215,2.0
216,1.0
217,1.0
218,3.0
219,4.0
220,5.0
221,2.0
222,6.0
223,1.0
224,0.0
225,4.0
226,3.0
227,4.0
228,4.0
229,0.0
230,2.0
231,4.0
232,1.0
233,1.0
234,0.0
235,6.0
236,3.0
237,3.0
238,6.0
239,2.0
240,0.0
241,5.0
242,1.0
243,1.0
244,2.0
245,5.0
246,7.0
247,1.0
248,1.0
249,1.0
250,0.0
251,3.0
252,0.0
253,1.0
254,5.0
255,8.0
256,4.0
257,1.0
258,3.0
259,1.0
260,2.0
261,0.0
262,2.0
263,3.0
264,1.0
265,2.0
266,0.0
267,4.0
268,4.0
269,1.0
270,0.0
271,0.0
272,3.0
273,0.0
274,7.0
275,2.0
276,4.0
277,2.0
278,0.0
279,3.0
280,3.0
281,2.0
282,2.0
283,8.0
284,2.0
285,2.0
286,3.0
287,3.0
288,1.0
289,6.0
290,1.0
291,2.0
292,5.0
293,0.0
294,4.0
295,1.0
296,8.0
297,1.0
298,2.0
299,5.0
300,4.0
301,6.0
302,1.0
303,4.0
304,2.0
305,6.0
306,4.0
307,0.0
308,7.0
309,1.0
310,0.0
311,2.0
312,2.0
313,2.0
314,4.0
315,0.0
316,7.0
317,1.0
318,0.0
319,5.0
320,0.0
321,0.0
322,2.0
323,0.0
324,1.0
325,2.0
326,1.0
327,2.0
328,1.0
329,0.0
330,2.0
331,2.0
332,2.0
333,3.0
334,0.0
335,1.0
336,6.0
337,0.0
338,0.0
339,2.0
340,0.0
341,1.0
342,4.0
343,1.0
344,1.0
345,8.0
346,3.0
347,1.0
348,0.0
349,0.0
350,10.0
351,0.0
352,2.0
353,0.0
354,0.0
355,1.0
356,0.0
357,0.0
358,5.0
359,1.0
360,0.0
361,1.0
362,5.0
363,0.0
364,1.0
365,2.0
366,12.0
367,4.0
368,3.0
369,1.0
370,2.0
371,3.0
372,1.0
373,5.0
374,1.0
375,2.0
376,1.0
377,3.0
378,2.0
379,1.0
380,3.0
381,5.0
382,1.0
383,1.0
384,1.0
385,0.0
386,2.0
387,3.0
388,2.0
389,1.0
390,2.0
391,3.0
392,2.0
393,1.0
394,3.0
395,1.0
396,0.0
397,0.0
398,0.0
399,6.0
400,2.0
401,10.0
402,0.0
403,2.0
404,1.0
405,4.0
406,2.0
407,2.0
408,1.0
409,7.0
410,4.0
411,8.0
412,0.0
413,0.0
414,1.0
415,5.0
416,4.0
417,1.0
418,3.0
419,1.0
420,3.0
421,5.0
422,0.0
423,3.0
424,1.0
425,6.0
426,0.0
427,4.0
428,2.0
429,6.0
430,2.0
431,2.0
432,3.0
433,0.0
434,8.0
435,0.0
436,6.0
437,3.0
438,1.0
439,10.0
440,2.0
441,0.0
442,2.0
443,3.0
444,0.0
445,2.0
446,1.0
447,0.0
448,5.0
449,5.0
450,1.0
451,4.0
452,2.0
453,2.0
454,4.0
455,0.0
456,1.0
457,1.0
458,1.0
459,1.0
460,0.0
461,3.0
462,2.0
463,2.0
464,0.0
465,0.0
466,1.0
467,1.0
468,6.0
469,0.0
470,0.0
471,1.0
472,1.0
473,0.0
474,0.0
475,0.0
476,1.0
477,4.0
478,1.0
479,0.0
480,3.0
481,2.0
482,4.0
483,2.0
484,2.0
485,2.0
486,8.0
487,3.0
488,5.0
489,6.0
490,6.0
491,2.0
492,3.0
493,6.0
494,3.0
495,6.0
496,4.0
497,2.0
498,1.0
499,2.0
500,4.0
501,3.0
502,2.0
503,3.0
504,3.0
505,2.0
506,2.0
507,0.0
508,3.0
509,5.0
510,0.0
511,4.0
512,1.0
513,1.0
514,2.0
515,1.0
516,2.0
517,3.0
518,4.0
519,2.0
520,3.0
521,1.0
522,3.0
523,3.0
524,2.0
525,3.0
526,2.0
527,4.0
528,1.0
529,3.0
530,4.0
531,1.0
532,2.0
533,1.0
534,2.0
535,2.0
536,4.0
537,5.0
