id,pay_count_avg
1,
2,2.52173913043
3,2.0
4,0.0555555555556
5,0.0
6,2.90476190476
7,2.28828828829
8,0.0
9,0.272727272727
10,0.585
11,6.41666666667
12,2.29411764706
13,0.4
14,0.352941176471
15,0.0
16,0.193548387097
17,1.07692307692
18,0.0
19,1.88888888889
20,2.75
21,1.26666666667
22,0.666666666667
23,0.444444444444
24,3.06692531523
25,0.0
26,0.0
27,2.56666666667
28,1.14285714286
29,0.0
30,0.904761904762
31,
32,1.57142857143
33,
34,0.854368932039
35,1.19081779053
36,0.0
37,2.66666666667
38,
39,1.0
40,12.3913043478
41,
42,1.13114754098
43,1.64835164835
44,1.72727272727
45,0.146341463415
46,0.0
47,1.45098039216
48,2.08333333333
49,5.5
50,0.0
51,2.78125
52,
53,1.5
54,2.8
55,
56,
57,2.4
58,0.631578947368
59,0.0
60,0.8
61,0.666666666667
62,2.93617021277
63,0.0
64,2.5625
65,4.27272727273
66,
67,0.0
68,0.370675453048
69,0.0
70,1.25
71,0.0
72,0.0
73,
74,0.75
75,
76,
77,0.361502347418
78,2.43333333333
79,0.0
80,0.44
81,
82,0.675862068966
83,0.763888888889
84,0.0
85,0.0
86,4.0
87,0.4
88,0.535714285714
89,1.52777777778
90,0.0
91,
92,1.0
93,
94,0.0
95,
96,0.0
97,
98,0.0
99,0.527027027027
100,1.44444444444
101,0.5
102,0.0
103,
104,
105,0.483720930233
106,
107,0.0
108,
109,
110,1.73684210526
111,0.230769230769
112,4.13636363636
113,
114,6.46666666667
115,0.0
116,0.344444444444
117,0.292307692308
118,
119,1.93165467626
120,0.188118811881
121,0.47619047619
122,0.90756302521
123,1.625
124,4.94117647059
125,2.08108108108
126,0.275862068966
127,0.881118881119
128,1.45945945946
129,1.16666666667
130,0.0
131,0.847826086957
132,0.75
133,2.0
134,0.625
135,
136,1.51612903226
137,
138,1.65517241379
139,1.5
140,0.0
141,
142,0.545454545455
143,1.94117647059
144,
145,0.490909090909
146,2.03846153846
147,0.272727272727
148,
149,2.10606060606
150,1.8
151,1.12121212121
152,
153,0.421875
154,0.0
155,
156,
157,0.0
158,0.818181818182
159,0.222222222222
160,1.0
161,0.0
162,0.894736842105
163,0.0
164,1.01041666667
165,0.25
166,0.0
167,0.0
168,0.0
169,1.0
170,1.55223880597
171,3.68421052632
172,0.702702702703
173,
174,0.793103448276
175,
176,0.0
177,
178,1.96296296296
179,
180,0.333333333333
181,
182,
183,0.0
184,0.628571428571
185,
186,
187,
188,1.0
189,1.04651162791
190,0.253968253968
191,0.0
192,0.133333333333
193,1.37974683544
194,0.0
195,0.0416666666667
196,
197,
198,
199,6.0
200,1.87573964497
201,0.0
202,0.639534883721
203,2.46153846154
204,0.666666666667
205,1.79824561404
206,1.66666666667
207,0.0
208,0.577114427861
209,0.666666666667
210,0.773333333333
211,0.285714285714
212,25.2727272727
213,0.0
214,
215,1.0
216,1.0
217,0.0
218,0.25
219,0.636363636364
220,0.84
221,1.90909090909
222,1.69230769231
223,1.0
224,
225,0.176470588235
226,0.833333333333
227,0.166666666667
228,1.42857142857
229,
230,0.833333333333
231,0.4
232,3.0
233,1.0
234,
235,1.2380952381
236,3.91428571429
237,5.08
238,0.328638497653
239,2.10344827586
240,
241,2.29644268775
242,0.0
243,4.0
244,0.571428571429
245,0.161073825503
246,0.949152542373
247,1.0
248,1.0
249,2.0
250,
251,1.17391304348
252,
253,0.5
254,3.43925233645
255,0.411417322835
