id,last_rest_repay_money_morethan10_count
1,0
2,5
3,1
4,11
5,2
6,34
7,1
8,0
9,1
10,83
11,5
12,16
13,54
14,5
15,0
16,2
17,43
18,69
19,7
20,5
21,0
22,2
23,2
24,116
25,3
26,34
27,5
28,0
29,14
30,1
31,0
32,2
33,0
34,81
35,94
36,1
37,5
38,0
39,2
40,24
41,0
42,45
43,87
44,1
45,7
46,14
47,40
48,5
49,40
50,2
51,10
52,0
53,1
54,7
55,0
56,0
57,0
58,6
59,0
60,4
61,1
62,7
63,20
64,0
65,0
66,0
67,10
68,340
69,0
70,20
71,4
72,1
73,0
74,0
75,0
76,0
77,31
78,1
79,5
80,7
81,0
82,67
83,30
84,0
85,3
86,0
87,0
88,8
89,36
90,0
91,0
92,12
93,0
94,3
95,0
96,0
97,0
98,2
99,37
100,3
101,1
102,0
103,0
104,0
105,81
106,0
107,16
108,0
109,0
110,32
111,3
112,11
113,0
114,3
115,44
116,20
117,19
118,0
119,170
120,21
121,0
122,111
123,36
124,0
125,26
126,0
127,56
128,29
129,5
130,0
131,93
132,0
133,6
134,1
135,0
136,22
137,0
138,20
139,2
140,0
141,0
142,3
143,2
144,0
145,6
146,22
147,0
148,0
149,21
150,11
151,8
152,0
153,18
154,21
155,0
156,0
157,0
158,3
159,3
160,4
161,0
162,5
163,23
164,12
165,3
166,0
167,2
168,0
169,4
170,28
171,6
172,5
173,0
174,29
175,0
176,3
177,0
178,22
179,0
180,0
181,0
182,0
183,0
184,6
185,0
186,0
187,0
188,3
189,26
190,28
191,2
192,4
193,15
194,0
195,13
196,0
197,0
198,0
199,7
200,57
201,5
202,20
203,6
204,3
205,112
206,0
207,0
208,76
209,0
210,27
211,0
212,0
213,0
214,0
215,18
216,0
217,0
218,2
219,50
220,11
221,7
222,15
223,4
224,0
225,9
226,1
227,0
228,12
229,0
230,3
231,2
232,1
233,0
234,0
235,108
236,62
237,22
238,63
239,24
240,0
241,217
242,0
243,1
244,10
245,13
246,33
247,1
248,0
249,5
250,0
251,0
252,0
253,0
254,39
255,132
256,41
257,0
258,4
259,0
260,5
261,0
262,13
263,28
264,1
265,1
266,0
267,9
268,18
269,0
270,0
271,0
272,5
273,0
274,180
275,0
276,5
277,15
278,0
279,4
280,12
281,18
282,31
283,6
284,0
285,3
286,2
287,1
288,0
289,52
290,2
291,7
292,17
293,0
294,50
295,14
296,180
297,0
298,56
299,5
300,8
301,56
302,0
303,10
304,0
305,29
306,157
307,0
308,146
309,21
310,0
311,30
312,1
313,4
314,19
315,0
316,65
317,0
318,0
319,4
320,0
321,0
322,2
323,0
324,3
325,2
326,0
327,3
328,0
329,0
330,29
331,14
332,0
333,3
334,0
335,0
336,107
337,0
338,0
339,12
340,0
341,0
342,0
343,0
344,1
345,3
346,14
347,0
348,0
349,0
350,182
351,0
352,2
353,0
354,0
355,0
356,0
357,0
358,22
359,5
360,0
361,0
362,38
363,0
364,82
365,1
366,91
367,0
368,91
369,0
370,0
371,66
372,33
373,89
374,0
375,4
376,4
377,5
378,7
379,5
380,83
381,16
382,0
383,0
384,55
385,0
386,0
387,5
388,3
389,0
390,208
391,9
392,0
393,0
394,1
395,46
396,0
397,0
398,0
399,59
400,23
401,831
402,0
403,3
404,4
405,24
406,8
407,33
408,0
409,73
410,35
411,115
412,0
413,0
414,1
415,33
416,37
417,0
418,3
419,1
420,5
421,23
422,0
423,2
424,0
425,26
426,0
427,3
428,3
429,38
430,1
431,12
432,20
433,0
434,5
435,0
436,25
437,57
438,0
439,40
440,14
441,0
442,1
443,1
444,0
445,13
446,0
447,0
448,5
449,7
450,0
451,0
452,0
453,1
454,0
455,0
456,0
457,34
458,1
459,0
460,0
461,0
462,4
463,12
464,0
465,0
466,0
467,5
468,66
469,0
470,0
471,4
472,0
473,0
474,0
475,0
476,0
477,14
478,1
479,0
480,10
481,15
482,6
483,7
484,2
485,7
486,27
487,1
488,181
489,50
490,13
491,24
492,68
493,90
494,0
495,5
496,74
497,6
498,2
499,21
500,15
501,7
502,32
503,0
504,0
505,0
506,32
507,0
508,23
509,3
510,0
511,71
512,14
513,0
514,0
515,7
516,4
517,3
518,8
519,102
520,18
521,0
522,17
523,15
524,21
525,73
526,28
527,0
528,17
529,0
530,12
531,20
532,13
533,1
534,8
535,17
536,24
537,49
538,0
539,0
540,3
541,0
542,0
543,13
544,5
545,3
546,0
547,0
548,57
549,3
550,12
551,1
552,3
553,94
554,0
