id,last_bill_money_avg
1,
2,15.6841073913
3,18.366771
4,7.26806530556
5,20.6792265
6,19.1344151429
7,9.64492438739
8,0.0
9,14.5956509091
10,14.07205757
11,16.0617465833
12,7.64478113725
13,18.6035549
14,11.8555832353
15,14.3117602857
16,12.5857695806
17,18.4851932249
18,21.4218336559
19,20.131927
20,18.8581110833
21,2.59263793333
22,18.6241276667
23,-3.88173933333
24,7.57026102328
25,14.31886525
26,19.5406335556
27,17.7014476333
28,0.0
29,19.0123304286
30,10.4536288571
31,
32,19.5610528571
33,
34,15.6977253883
35,14.853826396
36,12.9733416667
37,19.339986
38,
39,15.1205873333
40,15.015324
41,
42,19.5997729016
43,19.9778534945
44,19.4072836364
45,10.2967753415
46,18.1152897727
47,15.6632609804
48,16.0417669167
49,17.2274342571
50,10.3567010833
51,14.9912530625
52,
53,8.35279809524
54,14.4270698
55,
56,
57,-10.8560711
58,6.99632663158
59,1.00710935
60,18.2724561
61,20.6841643333
62,15.5529830213
63,10.835917325
64,14.68717075
65,0.0
66,
67,15.4488598667
68,16.517883369
69,0.0
70,3.46826936538
71,18.6853447273
72,19.3863903333
73,
74,14.325171
75,
76,
77,13.8056571362
78,12.0457606333
79,15.646239
80,17.66022806
81,
82,19.0894689517
83,10.2623299028
84,19.4323545
85,14.77231225
86,0.0
87,20.0235122
88,2.65608857143
89,19.8556041111
90,-7.15968981481
91,
92,10.8225848966
93,
94,16.9959372
95,
96,0.0
97,
98,12.9955276667
99,13.8977539595
100,6.68536233333
101,7.555781625
102,18.696603
103,
104,
105,12.2051492419
106,
107,9.49554532258
108,
109,
110,18.1602851053
111,0.994630461538
112,10.4176549091
113,
114,16.1254772667
115,17.4510737407
116,11.6548032889
117,12.7758914462
118,
119,15.9996619712
120,11.746831297
121,0.0
122,18.9469542521
123,16.2376740875
124,13.920451
125,18.5056577838
126,-2.77535848276
127,18.361074951
128,19.0165507568
129,19.6855486667
130,0.0
131,15.3508660174
132,2.382022375
133,17.1324034286
134,9.761585625
135,
136,15.2488396129
137,
138,18.3427697931
139,18.64710175
140,19.5094765
141,
142,4.17015231818
143,15.6113144118
144,
145,13.741362
146,19.6014099615
147,14.9583678182
148,
149,20.0653720758
150,16.5086556667
151,8.07945457576
152,
153,13.0849241719
154,21.321993375
155,
156,
157,0.0
158,10.9472641818
159,15.4182505926
160,13.7164715714
161,0.0
162,8.95177389474
163,20.17039812
164,15.5361108958
165,17.67864975
166,2.38883264286
167,14.5522394
168,0.0
169,8.920599
170,17.9838872687
171,18.2665231579
172,7.48307167568
173,
174,19.2730065172
175,
176,20.2310452
177,
178,17.4419884444
179,
180,0.0
181,
182,
183,0.0
184,17.7241472
185,
186,
187,
188,15.4704395
189,20.8601163256
190,9.40562588889
191,19.066782
192,10.3197837333
193,19.9939981899
194,0.0
195,15.0732734583
196,
197,
198,
199,20.7601673333
200,15.5329703254
201,13.7688676667
202,17.998199
203,17.4748467692
204,15.78331
205,9.88938891667
206,12.6662516667
207,9.19556453333
208,16.7455733284
209,21.3173423333
210,15.6977050133
211,-1.24508971429
212,0.0
213,6.45356133333
214,
215,15.27142212
216,-15.811299
217,0.0
218,14.5717025
219,19.8745516234
220,7.40376585333
221,10.8563542727
222,4.9027875641
223,20.6680925
224,
225,16.7540615147
226,6.49457166667
227,16.6203854444
228,13.0834019286
229,
230,5.63356775
231,20.3890988
232,20.0627073333
233,0.0
234,
235,18.0317747687
236,16.6867096857
237,19.63999852
238,17.7990213756
239,19.4044414828
240,
241,17.2677324545
242,4.57274525
243,20.677973
244,15.2588435714
245,12.2775323758
246,14.451216
247,19.317302
248,18.163857
249,19.8879006667
250,
251,0.888751043478
252,
253,16.1480985
254,12.0308207664
255,17.4574161398
256,12.3329988676
257,0.0
258,8.8425095
259,0.0
260,14.2748488571
261,
262,16.823244125
263,10.1801315172
264,19.632879
265,1.212899
266,
267,12.5529081579
268,18.936739
269,0.0
270,
271,
272,17.3159181562
273,
274,13.1395025142
275,17.6993695
276,7.0368917
277,19.1557792
278,
279,12.2169741429
280,15.2793833
281,17.169995871
282,17.3706700769
283,15.0277201852
284,0.0
285,19.259169
286,12.3382166129
287,-5.46820057143
288,19.96223
289,17.5352380476
290,17.13742275
291,17.373096375
292,14.433834475
293,
294,19.7997582727
295,19.066572
296,17.4578342069
297,0.0
298,8.6808941978
299,10.0017400769
300,10.7738955857
301,16.8318812178
302,0.0
303,13.5941371339
304,19.9409729022
305,17.0566521899
306,17.0059795616
307,
308,15.4919005966
309,20.7965284462
310,
311,17.9141410789
312,10.60108525
313,14.431993375
314,15.5022300417
315,
316,14.7505120843
317,19.05485
318,
319,11.9547745
320,
321,
322,5.00625233333
323,
324,7.82260245455
325,14.1819863333
326,14.8099381111
327,5.72526916667
328,0.0
329,
330,16.19750565
331,19.927348
332,3.71843827273
333,9.69065114286
334,
335,0.0
336,16.1860019718
337,
338,
339,16.9663434231
340,
341,0.0
342,18.7645381905
343,0.0
344,20.0123803077
345,17.7113714286
346,12.4334407083
347,0.0
348,
349,
350,14.0423023026
351,
352,7.9873564
353,
354,
355,0.0
356,
357,
358,7.5710868172
359,-2.33979366667
360,
361,0.0
362,13.4791923117
363,
364,21.0510055794
365,16.4025632895
366,14.1348337644
367,-0.007545875
368,14.6204238414
369,0.0
370,9.44816777778
371,17.1382511548
372,20.3172011892
373,9.94193563944
374,0.0
375,12.6776683077
