id,current_card_limit_avg
1,
2,-2.21058891304
3,-2.535761
4,10.1433864722
5,0.5171125
6,5.52442390476
7,-1.69154828829
8,18.765676
9,5.40803995455
10,-4.336710515
11,16.8596301667
12,5.73938501961
13,8.88705198333
14,3.30823576471
15,-4.96407242857
16,-1.17810812903
17,-2.72102302367
18,-0.453667010753
19,19.1115990667
20,-1.84422408333
21,14.8150008667
22,-2.120394
23,-2.82251155556
24,-1.9641841387
25,-1.945833125
26,3.2813845
27,7.416762
28,18.2782667143
29,-0.251937928571
30,18.7192702381
31,
32,18.1487775714
33,
34,10.3360171553
35,3.34797271736
36,-1.90211633333
37,-0.468833166667
38,
39,-2.67713533333
40,2.04169534783
41,
42,-1.97209145902
43,2.40654453846
44,18.0146171818
45,4.99173687805
46,-0.624171772727
47,0.865521705882
48,16.5070589167
49,2.06046897143
50,8.780128
51,2.59708525
52,
53,7.53459888095
54,-1.7296443
55,
56,
57,1.6861294
58,-0.948016473684
59,17.56359485
60,-2.4268503
61,19.1693466667
62,7.2956933617
63,9.6114171
64,-3.3611005625
65,18.8679725455
66,
67,-1.85732406667
68,1.86555497035
69,17.141731
70,0.886971115385
71,-2.71491513636
72,5.39479933333
73,
74,-3.069878
75,
76,
77,8.00650661972
78,-5.17645506667
79,10.7326652308
80,-5.04541264
81,
82,-1.2688142069
83,5.81497326389
84,-0.8575065
85,0.1129635
86,17.356109
87,17.912142
88,2.2713535
89,0.604667722222
90,0.240250641975
91,
92,11.0543354138
93,
94,3.0704986
95,
96,16.6757443333
97,
98,-0.788359333333
99,3.14269701351
100,9.34721322222
101,1.119879625
102,-2.093665
103,
104,
105,3.61627145581
106,
107,9.08309541935
108,
109,
110,3.14541294737
111,-5.85041138462
112,9.58440209091
113,
114,2.2707206
115,-0.413397259259
116,-2.14511498889
117,0.269298661538
118,
119,1.46648602518
120,-3.19382888119
121,14.754598619
122,1.07384442017
123,-0.7515980375
124,1.52088911765
125,-0.719218594595
126,10.7773923448
127,-1.31175655944
128,0.274212837838
129,17.7076285
130,17.924750125
131,1.06931934783
132,10.08708975
133,-0.169950571429
134,4.36595825
135,
136,0.132866451613
137,
138,17.4216933793
139,1.52696725
140,-2.562425
141,
142,14.2083684091
143,18.6918272353
144,
145,2.63506652727
146,-1.27067592308
147,-2.624844
148,
149,-0.947636075758
150,1.625179
151,8.51317818182
152,
153,2.39728725
154,-0.167554333333
155,
156,
157,10.774888125
158,13.1650029091
159,-0.348799
160,0.925794857143
161,10.6794382857
162,12.8222336842
163,0.34171788
164,-6.64525913542
165,-24.09043275
166,0.355608095238
167,0.0496314
168,6.882382
169,7.32902288889
170,-2.33322938806
171,-1.26027073684
172,10.3120968108
173,
174,-1.10893627586
175,
176,6.6406194
177,
178,0.784665259259
179,
180,17.1589356667
181,
182,
183,9.0346295
184,-1.32044008571
185,
186,
187,
188,-2.74417375
189,0.196364139535
190,8.56749288889
191,-0.602201
192,9.0047336
193,5.46118420253
194,12.4527242857
195,2.31376608333
196,
197,
198,
199,-1.45016806667
200,10.467844497
201,-1.68760988889
202,10.1387828605
203,9.07879946154
204,-2.32495366667
205,3.12555799123
206,-2.652276
207,-2.2647472
208,2.54209163682
209,-2.26827466667
210,2.84960961333
211,-2.02495928571
212,18.5685959091
213,4.25072066667
214,
215,-2.21965672
216,0.0
217,14.2476257143
218,-1.5754085
219,-0.876511753247
220,13.09723232
221,7.4121495
222,15.8927481667
223,-0.9358495
224,
225,-0.956529470588
226,-1.82584166667
227,8.3994035
228,3.11560595918
229,
230,11.8154406667
231,-4.6567368
232,18.642781
233,20.261037
234,
235,-0.789637047619
236,5.09590508571
237,-16.63091884
238,4.74495745305
239,5.25262217241
240,
241,1.3831232332
242,6.615451
243,18.663055
244,1.81436014286
245,-0.755398516779
246,1.61699829661
247,4.210519
248,16.752395
249,18.225255
250,
251,16.0156736522
252,
253,-4.183837
254,4.72417519626
255,2.54580470866
256,4.25708116176
257,0.0
258,11.917521375
259,17.955352
260,4.67435771429
261,
262,-1.0950426875
263,6.97234991379
264,2.368766
265,13.6158920588
266,
267,5.73827610526
268,3.41523687179
269,15.817176
270,
271,
272,-3.30523125
273,
274,2.69168288068
275,-2.2579031875
276,9.8262805
277,1.31316013333
278,
279,-3.26119435714
280,0.190506666667
281,16.5070052903
282,3.07144329487
283,0.442558938272
284,-1.10427066667
285,-1.202353
286,6.16891816129
287,-7.04540866667
288,-2.995734
289,2.78139326667
290,20.1648239167
291,-1.73371275
292,9.107246725
293,
294,-0.0445535636364
295,-0.214346
296,1.98093290345
297,18.7469288333
298,-0.0328306703297
299,-0.607322692308
300,7.03805024286
301,6.19965531683
302,11.696095
303,1.63932970536
304,17.6173809022
305,5.3219
306,17.9309038402
307,
308,5.54144432189
309,-0.822173369231
310,
311,0.583423131579
312,19.26665275
313,-1.522058625
314,3.18296725
315,
316,3.69569210843
317,-2.600006
318,
319,8.18552966667
320,
321,
322,2.13016906667
323,
324,7.62048263636
325,2.20089255556
326,-5.03995477778
327,2.018285
328,18.0254195
329,
330,-1.3146932
331,7.76217460526
332,12.3212152727
333,8.40711357143
334,
335,17.856622
336,7.46257410734
337,
338,
339,1.84367396154
340,
341,19.434785
342,-2.1696842381
343,-2.1787
344,-3.42189038462
345,0.794993666667
346,9.26619516667
347,-11.454088
348,
349,
350,4.97749907781
351,
352,14.3463124
353,
354,
355,18.5123322857
356,
357,
358,9.69036711828
359,-7.5301216
360,
361,16.46622425
362,1.73578563636
363,
364,19.7655363551
