id,last_rest_repay_money_avg
1,
2,0.406401434783
3,-0.213403
4,2.31936688889
5,2.1394665
6,1.77106190476
7,-8.99982095495
8,-17.670684
9,-3.46215077273
10,0.36875761
11,-1.34014208333
12,-5.64676084314
13,2.0665259
14,-0.267175235294
15,-4.62529928571
16,-0.767056483871
17,0.574344514793
18,2.28650526882
19,-0.209692022222
20,1.80679083333
21,-0.015512
22,0.796565333333
23,-13.0572141111
24,-11.8370103249
25,-0.558764875
26,11.0728521111
27,-2.6013075
28,0.0
29,2.89409164286
30,-0.0113699047619
31,
32,2.97999685714
33,
34,1.07594346602
35,-0.0809899253945
36,-5.75469533333
37,1.56851716667
38,
39,-0.126579666667
40,-1.18492778261
41,
42,1.70064431148
43,1.23551142857
44,-0.262475545455
45,-1.40898536585
46,-0.352979727273
47,0.289907362745
48,0.259575583333
49,0.761963557143
50,-0.110022333333
51,-0.82301659375
52,
53,-0.944045880952
54,1.248372
55,
56,
57,-27.5555867
58,-0.748078052632
59,-3.50000000005e-07
60,0.1591821
61,6.90788566667
62,-2.41995140426
63,1.023277725
64,-3.29983175
65,0.0
66,
67,-2.1414647
68,1.61354404448
69,0.0
70,-4.20774184615
71,-0.633915681818
72,0.678424666667
73,
74,-5.55014875
75,
76,
77,-0.26954428169
78,-4.37522366667
79,-1.1218205
80,-1.43998096
81,
82,0.180948806897
83,2.91020554167
84,-0.01978375
85,-2.39995925
86,0.0
87,-0.1317789
88,-3.13958021429
89,3.86660563889
90,-8.29074487654
91,
92,0.660795724138
93,
94,5.155887
95,
96,0.0
97,
98,1.57797366667
99,2.47415355405
100,-1.35768866667
101,-3.96489825
102,-0.003129
103,
104,
105,-0.287416776744
106,
107,1.59199267742
108,
109,
110,2.45965478947
111,-16.0344362308
112,2.08320159091
113,
114,0.350304066667
115,7.59317485185
116,-7.5024639
117,-1.85936852308
118,
119,0.632589471223
120,-3.07398106931
121,-0.923741428571
122,2.21375945378
123,0.549439825
124,-2.14493282353
125,0.366782459459
126,-5.68127782759
127,1.77030746154
128,1.84599251351
129,1.09285033333
130,0.0
131,0.168679804348
132,-2.3818725
133,2.031708
134,-1.1782920625
135,
136,4.02953151613
137,
138,7.26594062069
139,0.51533625
140,-0.256305
141,
142,0.0881396363636
143,-0.214098235294
144,
145,-0.498655290909
146,3.19915792308
147,-3.21359945455
148,
149,-0.0187670909091
150,2.3757592
